,feature,encoding,weight,encoding_orig
142,vectortyp_kleinraum_Magdeburg,bin,0.0016181229773462784,nominal_multi
143,vectortyp_kleinraum_Pressburg,bin,0.0016181229773462784,nominal_multi
144,vectortyp_kleinraum_Brünn,bin,0.0016181229773462784,nominal_multi
145,vectortyp_kleinraum_Waterloo,bin,0.0016181229773462784,nominal_multi
146,vectortyp_kleinraum_Katzbach,bin,0.0016181229773462784,nominal_multi
147,vectortyp_kleinraum_Grandson,bin,0.0016181229773462784,nominal_multi
148,vectortyp_kleinraum_Murten,bin,0.0016181229773462784,nominal_multi
149,vectortyp_kleinraum_Nancy,bin,0.0016181229773462784,nominal_multi
150,vectortyp_kleinraum_Pavia,bin,0.0016181229773462784,nominal_multi
151,vectortyp_kleinraum_Buonconvento,bin,0.0016181229773462784,nominal_multi
152,vectortyp_kleinraum_Lübeck,bin,0.0016181229773462784,nominal_multi
153,vectortyp_kleinraum_Pretzsch,bin,0.0016181229773462784,nominal_multi
154,vectortyp_kleinraum_Enger,bin,0.0016181229773462784,nominal_multi
155,vectortyp_kleinraum_Wittenberg,bin,0.0016181229773462784,nominal_multi
156,vectortyp_kleinraum_Worms,bin,0.0016181229773462784,nominal_multi
157,vectortyp_kleinraum_Hemmingstedt,bin,0.0016181229773462784,nominal_multi
158,vectortyp_kleinraum_Leipzig,bin,0.0016181229773462784,nominal_multi
159,vectortyp_kleinraum_Athen,bin,0.0016181229773462784,nominal_multi
160,vectortyp_kleinraum_Spoleto,bin,0.0016181229773462784,nominal_multi
161,vectortyp_kleinraum_Kleinhelfendorf,bin,0.0016181229773462784,nominal_multi
162,vectortyp_kleinraum_Kaiserswerth,bin,0.0016181229773462784,nominal_multi
163,vectortyp_kleinraum_Rhein,bin,0.0016181229773462784,nominal_multi
164,vectortyp_kleinraum_Werden,bin,0.0016181229773462784,nominal_multi
165,vectortyp_kleinraum_Köln,bin,0.0016181229773462784,nominal_multi
166,vectortyp_kleinraum_Straßburg,bin,0.0016181229773462784,nominal_multi
167,vectortyp_kleinraum_Landshut,bin,0.0016181229773462784,nominal_multi
168,vectortyp_kleinraum_St. Gallen,bin,0.0016181229773462784,nominal_multi
169,vectortyp_kleinraum_Lahneck,bin,0.0016181229773462784,nominal_multi
170,vectortyp_kleinraum_Mainz,bin,0.0016181229773462784,nominal_multi
171,vectortyp_kleinraum_Morgarten,bin,0.0016181229773462784,nominal_multi
172,vectortyp_kleinraum_München,bin,0.0016181229773462784,nominal_multi
173,vectortyp_kleinraum_Trausnitz,bin,0.0016181229773462784,nominal_multi
174,vectortyp_kleinraum_Wolfenbüttel,bin,0.0016181229773462784,nominal_multi
175,vectortyp_kleinraum_Fritzlar,bin,0.0016181229773462784,nominal_multi
176,vectortyp_kleinraum_Kues,bin,0.0016181229773462784,nominal_multi
177,vectortyp_kleinraum_Regensburg,bin,0.0016181229773462784,nominal_multi
178,vectortyp_kleinraum_Frankenhausen,bin,0.0016181229773462784,nominal_multi
179,vectortyp_kleinraum_Mühlhausen,bin,0.0016181229773462784,nominal_multi
180,vectortyp_kleinraum_Basel,bin,0.0016181229773462784,nominal_multi
181,vectortyp_kleinraum_Kappel,bin,0.0016181229773462784,nominal_multi
182,vectortyp_kleinraum_Münster,bin,0.0016181229773462784,nominal_multi
183,vectortyp_kleinraum_Trier,bin,0.0016181229773462784,nominal_multi
184,vectortyp_kleinraum_Erfurt,bin,0.0016181229773462784,nominal_multi
185,vectortyp_kleinraum_Schlenderhan,bin,0.0016181229773462784,nominal_multi
186,vectortyp_kleinraum_Dachau,bin,0.0016181229773462784,nominal_multi
187,vectortyp_kleinraum_Wien,bin,0.0016181229773462784,nominal_multi
188,vectortyp_kleinraum_Jena,bin,0.0016181229773462784,nominal_multi
189,vectortyp_kleinraum_Hamburg,bin,0.0016181229773462784,nominal_multi
190,vectortyp_kleinraum_Brandenburg an der Havel,bin,0.0016181229773462784,nominal_multi
191,vectortyp_kleinraum_Breda,bin,0.0016181229773462784,nominal_multi
192,vectortyp_kleinraum_Den Haag,bin,0.0016181229773462784,nominal_multi
193,vectortyp_kleinraum_Rheder,bin,0.0016181229773462784,nominal_multi
194,vectortyp_kleinraum_Hohenfriedberg,bin,0.0016181229773462784,nominal_multi
195,vectortyp_kleinraum_Berlin,bin,0.0016181229773462784,nominal_multi
196,vectortyp_kleinraum_Gotha,bin,0.0016181229773462784,nominal_multi
197,vectortyp_kleinraum_Roßbach,bin,0.0016181229773462784,nominal_multi
198,vectortyp_kleinraum_Rom,bin,0.0016181229773462784,nominal_multi
199,vectortyp_kleinraum_Capri,bin,0.0016181229773462784,nominal_multi
200,vectortyp_kleinraum_Granada,bin,0.0016181229773462784,nominal_multi
201,vectortyp_kleinraum_Lepanto,bin,0.0016181229773462784,nominal_multi
202,vectortyp_kleinraum_Macao,bin,0.0016181229773462784,nominal_multi
203,vectortyp_kleinraum_Inkerman,bin,0.0016181229773462784,nominal_multi
204,vectortyp_kleinraum_Ottosund,bin,0.0016181229773462784,nominal_multi
205,vectortyp_kleinraum_Warschau,bin,0.0016181229773462784,nominal_multi
206,vectortyp_kleinraum_Valencia,bin,0.0016181229773462784,nominal_multi
207,vectortyp_kleinraum_Bullerborn,bin,0.0016181229773462784,nominal_multi
208,vectortyp_kleinraum_Quedlinburg,bin,0.0016181229773462784,nominal_multi
209,vectortyp_kleinraum_Ratzeburg,bin,0.0016181229773462784,nominal_multi
210,vectortyp_kleinraum_Treuenbrietzen,bin,0.0016181229773462784,nominal_multi
211,vectortyp_kleinraum_Bernau,bin,0.0016181229773462784,nominal_multi
212,vectortyp_kleinraum_Stralsund,bin,0.0016181229773462784,nominal_multi
213,vectortyp_kleinraum_Potsdam,bin,0.0016181229773462784,nominal_multi
214,vectortyp_kleinraum_Minden,bin,0.0016181229773462784,nominal_multi
215,vectortyp_kleinraum_Lobositz,bin,0.0016181229773462784,nominal_multi
216,vectortyp_kleinraum_Hochkirch,bin,0.0016181229773462784,nominal_multi
217,vectortyp_kleinraum_Kunersdorf,bin,0.0016181229773462784,nominal_multi
218,vectortyp_kleinraum_Zorndorf,bin,0.0016181229773462784,nominal_multi
219,vectortyp_kleinraum_Elba,bin,0.0016181229773462784,nominal_multi
220,vectortyp_kleinraum_Düppel,bin,0.0016181229773462784,nominal_multi
221,vectortyp_kleinraum_Burg Plaue,bin,0.0016181229773462784,nominal_multi
222,vectortyp_kleinraum_Lichtenburg,bin,0.0016181229773462784,nominal_multi
223,vectortyp_kleinraum_Krossen,bin,0.0016181229773462784,nominal_multi
224,vectortyp_kleinraum_Breslau,bin,0.0016181229773462784,nominal_multi
225,vectortyp_kleinraum_Kesselsdorf,bin,0.0016181229773462784,nominal_multi
226,vectortyp_kleinraum_Dresden,bin,0.0016181229773462784,nominal_multi
227,vectortyp_kleinraum_Leuthen,bin,0.0016181229773462784,nominal_multi
228,vectortyp_kleinraum_Charlottenburg,bin,0.0016181229773462784,nominal_multi
229,vectortyp_kleinraum_Kolberg,bin,0.0016181229773462784,nominal_multi
230,vectortyp_kleinraum_Gitschin,bin,0.0016181229773462784,nominal_multi
231,vectortyp_kleinraum_Königgrätz,bin,0.0016181229773462784,nominal_multi
232,vectortyp_kleinraum_Kyffhäuser,bin,0.0016181229773462784,nominal_multi
233,vectortyp_kleinraum_Miseno,bin,0.0016181229773462784,nominal_multi
234,vectortyp_kleinraum_Southampton,bin,0.0016181229773462784,nominal_multi
235,vectortyp_kleinraum_Paris,bin,0.0016181229773462784,nominal_multi
236,vectortyp_kleinraum_Ostrolenka,bin,0.0016181229773462784,nominal_multi
237,vectortyp_kleinraum_Hohenstaufen,bin,0.0016181229773462784,nominal_multi
238,vectortyp_kleinraum_Hohenzollern,bin,0.0016181229773462784,nominal_multi
239,vectortyp_kleinraum_Rudolstadt,bin,0.0016181229773462784,nominal_multi
240,vectortyp_kleinraum_Moskau,bin,0.0016181229773462784,nominal_multi
241,vectortyp_kleinraum_Gilboa,bin,0.0016181229773462784,nominal_multi
242,vectortyp_kleinraum_Jerusalem,bin,0.0016181229773462784,nominal_multi
243,vectortyp_kleinraum_Babylon,bin,0.0016181229773462784,nominal_multi
244,vectortyp_kleinraum_Abydos,bin,0.0016181229773462784,nominal_multi
245,vectortyp_kleinraum_Sparta,bin,0.0016181229773462784,nominal_multi
246,vectortyp_kleinraum_Ephesos,bin,0.0016181229773462784,nominal_multi
247,vectortyp_kleinraum_Ebro,bin,0.0016181229773462784,nominal_multi
248,vectortyp_kleinraum_Alesia,bin,0.0016181229773462784,nominal_multi
249,vectortyp_kleinraum_Rügen,bin,0.0016181229773462784,nominal_multi
250,vectortyp_kleinraum_Phalar,bin,0.0016181229773462784,nominal_multi
251,vectortyp_kleinraum_Narbonne,bin,0.0016181229773462784,nominal_multi
252,vectortyp_kleinraum_Katalaunische Felder,bin,0.0016181229773462784,nominal_multi
253,vectortyp_kleinraum_Ravenna,bin,0.0016181229773462784,nominal_multi
254,vectortyp_kleinraum_Bern,bin,0.0016181229773462784,nominal_multi
255,vectortyp_kleinraum_Chalkedon,bin,0.0016181229773462784,nominal_multi
256,vectortyp_kleinraum_Geismar,bin,0.0016181229773462784,nominal_multi
257,vectortyp_kleinraum_Dokkum,bin,0.0016181229773462784,nominal_multi
258,vectortyp_kleinraum_Frankfurt,bin,0.0016181229773462784,nominal_multi
259,vectortyp_kleinraum_Utrecht,bin,0.0016181229773462784,nominal_multi
260,vectortyp_kleinraum_Edington,bin,0.0016181229773462784,nominal_multi
261,vectortyp_kleinraum_Wedmore,bin,0.0016181229773462784,nominal_multi
262,vectortyp_kleinraum_Weilburg,bin,0.0016181229773462784,nominal_multi
263,vectortyp_kleinraum_Lenzen,bin,0.0016181229773462784,nominal_multi
264,vectortyp_kleinraum_Clermont,bin,0.0016181229773462784,nominal_multi
265,vectortyp_kleinraum_Goslar,bin,0.0016181229773462784,nominal_multi
266,vectortyp_kleinraum_Brennabor,bin,0.0016181229773462784,nominal_multi
267,vectortyp_kleinraum_Stendal,bin,0.0016181229773462784,nominal_multi
268,vectortyp_kleinraum_Susa,bin,0.0016181229773462784,nominal_multi
269,vectortyp_kleinraum_Trifels,bin,0.0016181229773462784,nominal_multi
270,vectortyp_kleinraum_Bouvines,bin,0.0016181229773462784,nominal_multi
271,vectortyp_kleinraum_Lucera,bin,0.0016181229773462784,nominal_multi
272,vectortyp_kleinraum_Benevent,bin,0.0016181229773462784,nominal_multi
