index,author,author_gnd,author_gnd_available,dnb_gender,dnb_birth,dnb_death,dnb_countries,dnb_occupations,dnb_occupations_count
14320,"Hoffmann, Fritz",,False,,,,,,
14324,"Silberdraht, Konrad",,False,,,,,,
14359,"Neukirch, E.",,False,,,,,,
14421,"Fastenrath, Joh.",http://d-nb.info/116412658,True,male,1839.0,1908.0,Deutschland (XA-DE) + Spanien (XA-ES) + Österreich (XA-AT),Schriftsteller + Kunstsammler + Jurist + Übersetzer,4.0
14448,"Bach, Gustav von",,False,,,,,,
14458,"Bartsch, Jul.",(?) http://d-nb.info/116075589,True,male,1844.0,,Deutschland (XA-DE),Pädagoge + Oberlehrer + Klassischer Philologe,3.0
14482,"Häschke, T. L.",,False,,,,,,
14487,"Stens, W.",http://d-nb.info/117271942,True,male,1810.0,1878.0,Deutschland (XA-DE),Arzt + Schriftsteller,2.0
14488,"Steinbach, Anton",,False,,,,,,
14493,"Illgen, Wilhelm",,False,,,,,,
14498,Wiesner,,False,,,,,,
14509,"Hübner, Julius",http://d-nb.info/119144573,True,male,1806.0,1882.0,Deutschland (XA-DE),Künstler + Maler,2.0
14516,"Fix, Wilhelm",http://d-nb.info/116586591,True,male,1824.0,,Deutschland (XA-DE),Lehrer,1.0
14533,"Wattendorff, Ludwig",,False,,,,,,
14545,"Baumbach, Adolf",,False,,,,,,
14546,"Wommen, Engelhardt",,False,,,,,,
14549,"Schneider, Emil",(?) http://d-nb.info/10739913X,True,male,1839.0,1928.0,Deutschland (XA-DE) + USA (XD-US),Buchhändler + Schriftsteller + Pfarrer + Missionar,4.0
14551,"Mönch, H. H.",,False,,,,,,
14555,Vasen,,False,,,,,,
14559,"B., W.",,False,,,,,,
14564,"Ammann, Roch",,False,,,,,,
14565,"Taubert, Emil",http://d-nb.info/117235385,True,male,1844.0,1895.0,Deutschland (XA-DE),Philologe + Schriftsteller + Dramatiker + Höherer Dienst + Lehrer,5.0
14569,"Heinze, P.",,False,,,,,,
14570,"Schmidt-Cabanis, Richard",http://d-nb.info/116442700,True,male,1838.0,1903.0,Deutschland (XA-DE),Journalist + Dramatiker + Redakteur + Schriftsteller + Schauspieler + Buchhändler,6.0
14571,"Großrau, W.",,False,,,,,,
14573,"Grotthuß, Jeannot Emil von",,False,,,,,,
14574,"Kögel, Rudolf",,False,,,,,,
14579,"Diemar, Adamine von",http://d-nb.info/1046561073,True,female,1848.0,1945.0,Deutschland (XA-DE),Schriftstellerin + Lyrikerin,2.0
14580,"Delpy, Gustav",http://d-nb.info/116067950,True,male,1854.0,,Deutschland (XA-DE),Redakteur,1.0
14582,"Liliencron, A. von",(?) http://d-nb.info/126473889,True,female,1844.0,1913.0,Deutschland (XA-DE),Schriftstellerin,1.0
14585,"Nießen, Joseph",http://d-nb.info/12202091X,True,,1864.0,1942.0,Deutschland (XA-DE),Lehrer + Biologe + Schriftsteller + Heimatkundler,4.0
14587,"Zanders, Maria",,False,,,,,,
14588,"Benninghaus, Jos.",,False,,,,,,
14589,"Draeger, C. W.",,False,,,,,,
14590,"Dierkesmann, J.",,False,,,,,,
14592,"Gries, Wilhelm",http://d-nb.info/1051178452,True,male,1857.0,1927.0,Deutschland (XA-DE),Lyriker + Lehrer,2.0
14600,"Lüsebrink, Friedrich",,False,,,,,,
14602,"Hermann, F.",,False,,,,,,
14603,"Schäfer, J.",,False,,,,,,
14611,"Halfmann, E.",,False,,,,,,
14612,"Palma, M. M.",,False,,,,,,
14613,"Scholl, Karl",(?) http://d-nb.info/116895845,True,male,1820.0,1907.0,Deutschland (XA-DE),Prediger + Geistlicher + Schriftsteller + Theologe,4.0
14615,"Groll, Th.",(?) http://d-nb.info/116862556,True,male,,,Deutschland (XA-DE),Richter,1.0
